tree	group	V1	V2	V3	V4	V5	V6
classic1_STATE_724080000	classic1	21.1958320270514	-0.251537827741487	-8.81823241896143	-3.04729532390028	3.09950430743491	-43.5963246753666
classic1_STATE_725750000	classic1	36.1402898276662	7.58641522013786	-12.2617820693779	-2.2749847424914	29.2570045712399	7.26876313651876
classic1_STATE_727420000	classic1	31.2005064601935	8.8600667284558	-17.1534881156684	-6.99164728464853	15.8360532551749	3.8600718822268
classic1_STATE_729100000	classic1	35.79227451699	-18.4854037329471	-32.101304925382	28.8189360459067	-4.3515871104185	14.6062184051306
classic1_STATE_730770000	classic1	43.5727435112433	8.32628297115455	-8.36353645576063	21.1976377221463	34.0368288940728	-18.3945768588863
classic1_STATE_732440000	classic1	29.1278368149286	-5.03460213431232	-13.6435016211044	4.98427562470941	21.5014339220327	5.31412349529819
classic1_STATE_734110000	classic1	41.6041242997234	-1.12147247789722	-10.3348413561299	5.26529425642268	23.3335058099436	6.95091558219034
classic1_STATE_735790000	classic1	17.0367288913292	7.46186563280008	-10.500053328084	7.47433990388219	31.7280520421184	-15.7995909351399
classic1_STATE_737460000	classic1	44.107563596672	0.351234936588457	-14.3769161267934	38.4832561706301	0.0607525765418122	-1.27347026271132
classic1_STATE_739130000	classic1	44.8477805949381	-0.18478097845681	-13.715242193968	12.396857534829	17.4839676765999	-8.59679679545702
classic1_STATE_740800000	classic1	43.4959280738621	10.9051207699781	-24.0582393279207	-0.440716827830581	21.5374366360554	15.209711630093
classic1_STATE_742470000	classic1	35.3850443148423	5.48934586776972	-10.7699072630982	-3.80269111656116	20.2462935220162	7.17630826222815
classic1_STATE_744150000	classic1	43.7967830698964	13.8144542997742	-12.310968878176	-4.85407665748932	14.6432822384447	9.83021978329853
classic1_STATE_745820000	classic1	37.0379729209073	-10.6546835858814	-10.2883322006696	33.0639895566317	4.23906408721198	4.90957975524035
classic1_STATE_747490000	classic1	39.4540748919545	13.263551873923	-13.5487309236371	-18.1727711192952	-16.2170891140181	-18.4314843772952
classic1_STATE_749160000	classic1	24.1453733541966	3.9634287946957	-21.3327212277928	-4.96641907893022	18.2989618365226	1.755152441931
classic1_STATE_750840000	classic1	42.0668966521432	4.33411449436827	-24.7462001125493	23.6908610907157	1.58352814917059	10.449106763591
classic1_STATE_752510000	classic1	40.1639844134834	-0.320852270612222	-16.8509159791139	42.9350302128368	21.0613884641039	-18.6597508063842
classic1_STATE_754180000	classic1	44.2920853337899	6.41765540925399	-7.72921552533917	7.37732449131543	30.5382239133658	-16.3888639806337
